"PERRIN, ELIANA M.","SANDERS, LEE MICHAEL"
"PERRIN, ELIANA M.","PATINO-FERNANDEZ, ANNA MARIA"
"PERRIN, ELIANA M.","ROTHMAN, RUSSELL L."
"YIN, HSIANG","SANDERS, LEE MICHAEL"
"YIN, HSIANG","PATINO-FERNANDEZ, ANNA MARIA"
"YIN, HSIANG","ROTHMAN, RUSSELL L."
"SANDERS, LEE MICHAEL","PATINO-FERNANDEZ, ANNA MARIA"
"SANDERS, LEE MICHAEL","ROTHMAN, RUSSELL L."
"PATINO-FERNANDEZ, ANNA MARIA","ROTHMAN, RUSSELL L."
"PERRIN, ELIANA M.","YIN, HSIANG"
"PERRIN, ELIANA M.","SANDERS, LEE MICHAEL"
"PERRIN, ELIANA M.","PATINO-FERNANDEZ, ANNA MARIA"
"PERRIN, ELIANA M.","ROTHMAN, RUSSELL L."
"YIN, HSIANG","SANDERS, LEE MICHAEL"
"YIN, HSIANG","PATINO-FERNANDEZ, ANNA MARIA"
"YIN, HSIANG","ROTHMAN, RUSSELL L."
"SANDERS, LEE MICHAEL","PATINO-FERNANDEZ, ANNA MARIA"
"SANDERS, LEE MICHAEL","ROTHMAN, RUSSELL L."
"PATINO-FERNANDEZ, ANNA MARIA","ROTHMAN, RUSSELL L."
"GULLAPALLI, RAO P","SIMARD, J. MARC"
"GULLAPALLI, RAO P","DESAI, JAYDEV P."
"SIMARD, J. MARC","DESAI, JAYDEV P."
"PFEFFERBAUM, ADOLF","ZAHR, NATALIE M"
"GERBER, BEN STEVEN","SHARP, LISA K"
"FRANCISCO, GERARD E.","O'MALLEY, MARCIA K."
"FRANCISCO, GERARD E.","CONTRERAS-VIDAL, JOSE LUIS"
"O'MALLEY, MARCIA K.","CONTRERAS-VIDAL, JOSE LUIS"
"CHAPMAN, EDWIN R","JACKSON, MEYER B."
"GHARAVI, ALI G","LIFTON, RICHARD P"
"REEVE, BRYCE B","CHEN, RONALD"
"ENGELAND, CHRISTOPHER G","GRAHAM-ENGELAND, JENNIFER ELISE"
"BUTCHER, SAMUEL E","BROW, DAVID A"
"SAKIYAMA-ELBERT, SHELLY ELESE","GELBERMAN, RICHARD H"
"SAKIYAMA-ELBERT, SHELLY ELESE","THOMOPOULOS, STAVROS"
"GELBERMAN, RICHARD H","THOMOPOULOS, STAVROS"
"PESKIN, MELISSA","TORTOLERO, SUSAN"
"GRUPP-PHELAN, JACQUELINE M.","BRIDGE, JEFFREY A"
"SABERI, KOUROSH","HICKOK, GREGORY"
"HIRSCHI, KAREN KEMPER","BURT, JANIS M"
"CHILDS, JAMES EMORY","BEGON, MICHAEL"
"CHILDS, JAMES EMORY","KO, ALBERT ICKSANG"
"CHILDS, JAMES EMORY","DIGGLE, PETER"
"CHILDS, JAMES EMORY","REIS, MITERMAYER GALVAO DOS"
"BEGON, MICHAEL","KO, ALBERT ICKSANG"
"BEGON, MICHAEL","DIGGLE, PETER"
"BEGON, MICHAEL","REIS, MITERMAYER GALVAO DOS"
"KO, ALBERT ICKSANG","DIGGLE, PETER"
"KO, ALBERT ICKSANG","REIS, MITERMAYER GALVAO DOS"
"DIGGLE, PETER","REIS, MITERMAYER GALVAO DOS"
"LEKAS, HELEN-MARIA","METSCH, LISA R"
