from,to
"EDEN, URI TZVI","KRAMER, MARK ALAN"
"TILLISCH, KIRSTEN","NALIBOFF, BRUCE D"
"HINES, MICHAEL L","LYTTON, WILLIAM W"
"GUPTA, KALPNA","SIMONE, DONALD"
"NEUBERT, THOMAS A","COETZEE, WILLIAM A"
"SMITH, DOUGLAS E","FEISS, MICHAEL"
"SMITH, DOUGLAS E","CATALANO, CARLOS ENRIQUE"
"FEISS, MICHAEL","CATALANO, CARLOS ENRIQUE"
"HASTY, JEFF M","HOFFMANN, ALEXANDER"
"HASTY, JEFF M","TSIMRING, LEV S"
"HOFFMANN, ALEXANDER","TSIMRING, LEV S"
"LAUDERDALE, DIANE SPERLING","MACAL, CHARLES MARTIN"
"STUPP, SAMUEL I","SNEAD, MALCOLM L."
"WEHRLI, FELIX W","SHANE, ELIZABETH J"
"WEHRLI, FELIX W","GUO, X. EDWARD"
"SHANE, ELIZABETH J","GUO, X. EDWARD"
"PEARCE, EDWARD J.","LOK, JAMES B"
"DANUSER, GAUDENZ","SCHMID, SANDRA L."
"YAN, HONGGAO","METZGER, DENNIS W"
"ZHENG, HUI","LI, YUEMING"
"STAFFORD, R JASON","SCHWARTZ, JON ALEXANDER"
"RAMAN, SUBHA V","SIMONETTI, ORLANDO PAUL"
"TOP, EVA M.","ABDO, ZAID"
"MAYER, LLOYD F","DATTWYLER, RAYMOND JAMES"
"DE LA TORRE, JUAN C.","MARTINEZ-SOBRIDO, LUIS"
"CRANE, JOHN K.","BOEDEKER, EDGAR C."
"CAFFREY, CONOR","ARKIN, MICHELLE"
"CAFFREY, CONOR","SINGH, RAHUL"
"ARKIN, MICHELLE","SINGH, RAHUL"
"HOFFMANN, ALEXANDER","GHOSH, GOURISANKAR"
"CHAPMAN, EDWIN R","JACKSON, MEYER B."
"WRIGHT, ROSALIND J","BOSQUET ENLOW, MICHELLE A"
"ROSAL, MILAGROS C","LEMON, STEPHENIE C."
"LISABETH, LYNDA D","BROWN, DEVIN L"
"CAMPBELL, DANIEL J","ZIEGLER, STEVEN F"
"CAMPBELL, DANIEL J","HAMERMAN, JESSICA A"
"ZIEGLER, STEVEN F","HAMERMAN, JESSICA A"
"OKSENBERG, JORGE R.","HAUSER, STEPHEN L"
"SANGER, JEAN M","SANGER, JOSEPH WILLIAM"
"BLAIR, IAN ALEXANDER","STRASSER, ANDREW A"
"LISANBY, SARAH H","WEINER, RICHARD D."
"BUCK, JOCHEN","LEVIN, LONNY R"
"WEISS, ALISON A.","IYER, SURI SARANATHAN"
"KATOVICH, MICHAEL J","RAIZADA, MOHAN K."
"MONTAGNA, RICHARD A.","ZHOU, PENG"
"MONTAGNA, RICHARD A.","BAEUMNER, ANTJE J"
"ZHOU, PENG","BAEUMNER, ANTJE J"
"ENIKOLOPOV, GRIGORI N","KOULAKOV, ALEXEI"
"TASDIZEN, TOLGA","ELLISMAN, MARK H"
"TROPSHA, ALEXANDER","POZEFSKY, DIANE"
"EPPIG, JANAN T.","BULT, CAROL J"
"LOCKE, DONA E.C.","CHANDLER, MELANIE J"
"BICKEL, WARREN K","MONTAGUE, P READ"
"LOPEZ, JOSE ARON","KONKLE, BARBARA A"
"MURRAY, STEPHEN A","DONAHUE, LEAH RAE B"
"BULLOCK, LINDA F.C.","SHARPS, PHYLLIS W"
"MALHOTRA, ATUL","VEVES, ARISTIDIS"
"HARRISON, DAVID G","CAI, HUA LINDA"
"ZHUANG, XIAOXI","LONG, MANYUAN"
"GLUCKMAN, BRUCE J","SCHIFF, STEVEN J"
"WOLKOWITZ, OWEN M.","EPEL, ELISSA S."
"WOLKOWITZ, OWEN M.","MELLON, SYNTHIA H"
"EPEL, ELISSA S.","MELLON, SYNTHIA H"
"SZULCZEWSKI, MICHAEL J","KEELY, PATRICIA J"
"SZULCZEWSKI, MICHAEL J","CAMPAGNOLA, PAUL J"
"KEELY, PATRICIA J","CAMPAGNOLA, PAUL J"
"MONTMINY, MARC R","PANDA, SATCHIDANANDA"
"WOLD, BARBARA J","STERNBERG, PAUL WARREN"
"HEBER-KATZ, ELLEN S.","MESSERSMITH, PHILLIP B"
"ROSANO, CATERINA","AIZENSTEIN, HOWARD J"
"MEIER, ANN M","GRODSKY, ERIC"
"RATHBUN, STEPHEN L","BURKE, LORA EMILIE"
"PEDERSEN, CORT ANDREW","PENN, DAVID LEWIS"
"BRINDLEY, PAUL J","BETHONY, JEFFREY MICHAEL"
"GOLDRATH, ANANDA W","JOHNSON, RANDALL SCOTT"
"KAPTCHUK, TED","KOKKOTOU, EFI G."
"CONBOY, JOHN G","PACHTER, LIOR S"
"HOULE, JOHN D.","LEMAY, MICHEL A"
"LEUTHARDT, ERIC CLAUDE","CORBETTA, MAURIZIO"
"BATISTA, AARON PAUL","YU, BYRON M."
"KATH, WILLIAM LAWRENCE","SMITH, STEPHEN J"
"KOLODKIN, ALEX L","GINTY, DAVID D"
"LICHTENSTEIN, ALAN K","GERA, JOSEPH F"
"STEIN, LYNDA A","FRIEDMANN, PETER D"
"SCHMAHMANN, JEREMY D","WEDEEN, VAN J"
"MORARU, ION I.","BLINOV, MICHAEL"
"NEUBERT, THOMAS A","COETZEE, WILLIAM A"
"JOYCE, PAUL","WICHMAN, HOLLY A"
"JOYCE, PAUL","MILLER, CRAIG R"
"WICHMAN, HOLLY A","MILLER, CRAIG R"
"ACKROFF, KAREN","SCLAFANI, ANTHONY"
"ZAGOTTA, WILLIAM N","GORDON, SHARONA E"
"POVLISHOCK, JOHN T","JACOBS, KIMBERLE MAE"
"DEUTZ, NICOLAAS E","WOLFE, ROBERT R"
"WALKOSZ, BARBARA","BULLER, DAVID B"
"MARAZITA, MARY L.","WEINBERG, SETH M"
"YANG, DANZHOU","HURLEY, LAURENCE H."
"MITCHELL, EDITH P.","WICKSTROM, ERIC"
"MITCHELL, EDITH P.","THAKUR, MATHEW LAXMAN"
"WICKSTROM, ERIC","THAKUR, MATHEW LAXMAN"
"GEYER, MARK A","PERRY, WILLIAM"
"PARDO-MANUEL DE VILLENA, FERNANDO","O'BRIEN, DEBORAH A."
"RESTREPO, DIEGO","SCHOPPA, NATHAN ERIC"
"DEGEN, JAY L","MALIK, PUNAM"
"MORGENSTERN, LEWIS B","BROWN, DEVIN L"
"WILLCUTT, ERIK G","PETRILL, STEPHEN A."
"RITTER, TOBIAS","HOOKER, JACOB M."
"SUZUKI, WENDY A.","STARK, CRAIG E"
"TUAN, TAI-LAN","BENYA, PAUL DAVID"
"GRAY, CHARLES M","BRESSLER, STEVEN L"
"MURRAY, JEFFREY C","MARAZITA, MARY L."
"ARTINGER, KRISTIN","CLOUTHIER, DAVID E."
"ARTINGER, KRISTIN","POSTLETHWAIT, JOHN H."
"CLOUTHIER, DAVID E.","POSTLETHWAIT, JOHN H."
"MURPHY, SUSAN KAY","HOYO, CATHRINE"
"VAN DER KOUWE, ANDRE JAN WILLEM","MEINTJES, ERNESTA MARIA"
"VAN DER KOUWE, ANDRE JAN WILLEM","LAUGHTON, BARBARA"
"MEINTJES, ERNESTA MARIA","LAUGHTON, BARBARA"
"VAN DER KOUWE, ANDRE JAN WILLEM","MEINTJES, ERNESTA MARIA"
"VAN DER KOUWE, ANDRE JAN WILLEM","LAUGHTON, BARBARA"
"MEINTJES, ERNESTA MARIA","LAUGHTON, BARBARA"
"PROSSER, LISA A.","LIEU, TRACY A"
"BANNISTER, THOMAS D","BOHN, LAURA M."
"CONNOR, JAMES ROBERT","SIMPSON, IAN A"
"FELDSTEIN EWING, SARAH W.","BRYAN, ANGELA"
"DESAI, JAYDEV P.","FORAN, DAVID J"
"LEWIS, MICHAEL T.","CHANG, JENNY C-N"
"LEE, TAI-SING","YUILLE, ALAN L"
"WILKES, DAVID S","CHRISTIE, JASON D"
"DUAN, NAIHUA","SHEAR, M KATHERINE"
"CHEN, XUQI","ARNOLD, ARTHUR P"
"CHEN, XUQI","REUE, KAREN"
"ARNOLD, ARTHUR P","REUE, KAREN"
"RIDNER, SHEILA H","MURPHY, BARBARA A."
"BERRY, SUSAN A.","CAMERON, CYNTHIA A"
"BROOKS-KAYAL, AMY R.","RUSSEK, SHELLEY J"
"ICKOVICS, JEANNETTE R","SCHWARTZ, MARLENE B"
"ASPINWALL, LISA G","LEACHMAN, SANCY ANN"
"MACEK, MARK D","ATCHISON, KATHRYN ANN"
"SHAWBER, CARRIE J.","KITAJEWSKI, JAN K."
"ZHOU, PENGBO","SHIN, SANDRA"
"KASLOW, RICHARD ALAN","GOEPFERT, PAUL A."
"KASLOW, RICHARD ALAN","HUNTER, ERIC"
"GOEPFERT, PAUL A.","HUNTER, ERIC"
"RUBIN, JOSHUA B","GUTMANN, DAVID H"
"PERSIDSKY, YURI","GHORPADE, ANUJA"
"OPPENHEIM, RONALD W","MILLIGAN, CAROL"
"WILSON, DONALD A","LEVY, EFRAT"
"WILSON, DONALD A","NIXON, RALPH A."
"LEVY, EFRAT","NIXON, RALPH A."
"BHOWMICK, NEIL A.","GUISE, THERESA A"
"STEWARD, OSWALD","LUO, ZHIGANG DAVID"
"STERN, ROBERT A","MANDELBLATT, JEANNE"
"STERN, ROBERT A","SILLIMAN, REBECCA A"
"STERN, ROBERT A","AHLES, TIM ALAN"
"MANDELBLATT, JEANNE","SILLIMAN, REBECCA A"
"MANDELBLATT, JEANNE","AHLES, TIM ALAN"
"SILLIMAN, REBECCA A","AHLES, TIM ALAN"
"TAYLOR, JEREMY M.G.","GHOSH, DEBASHIS"
"WILLS, THOMAS A","GIBBONS, FREDERICK X"
"ROS, ROBERT","UGAROVA, TATIANA P"
"THOMPSON, JAMES R","ISAYA, GRAZIA"
"ICHTCHENKO, KONSTANTIN","JOHNSON, ERIC A."
"METHENY-BARLOW, LINDA J","BLACKSTOCK, ARTHUR W"
"BOUVET, MICHAEL","YANG, MENG"
"LIU, PENGYUAN","YOU, MING"
"LIU, PENGYUAN","VIKIS, HARIS G."
"YOU, MING","VIKIS, HARIS G."
"VADLAMUDI, RATNA K","BRANN, DARRELL W"
"ROYAL, WALTER","BLATTNER, WILLIAM ALBERT"
"MISTRETTA, CHARLES A.","TURSKI, PATRICK ALAN"
"PENN, RAYMOND B.","WALKER, JULIA K L"
"DAHMER, MARY K","FLORI, HEIDI R"
"PIZARRO, THERESA TORRES","COMINELLI, FABIO"
"MORRIS, GILBERT F","SULLIVAN, DEBORAH E"
"MORRIS, GILBERT F","SHAN, BIN"
"SULLIVAN, DEBORAH E","SHAN, BIN"
"BISCHOFF, WERNER E","NGUYEN-VAN-TAM, JONATHAN STAFFORD"
"BISCHOFF, WERNER E","MILTON, DONALD KIRBY"
"NGUYEN-VAN-TAM, JONATHAN STAFFORD","MILTON, DONALD KIRBY"
"CHANG, SULIE L.","LI, MING D"
"MOE, ORSON W","KURO-O, MAKOTO"
"MOE, ORSON W","HU, MING-CHANG"
"KURO-O, MAKOTO","HU, MING-CHANG"
"HERZOG, ROLAND W.","SRIVASTAVA, ARUN"
"HERZOG, ROLAND W.","ZOLOTUKHIN, SERGEI"
"SRIVASTAVA, ARUN","ZOLOTUKHIN, SERGEI"
"RAMACHANDRAN, VASAN S","MITCHELL, GARY FRANK"
"NIZET, VICTOR","SHALWITZ, ROBERT ALAN"
"NIZET, VICTOR","JOHNSON, RANDALL SCOTT"
"SHALWITZ, ROBERT ALAN","JOHNSON, RANDALL SCOTT"
"RAO, J SUNIL","JIANG, JIMING"
"WECHSLER-REYA, ROBERT J.","TAYLOR, MICHAEL D."
"WECHSLER-REYA, ROBERT J.","WEISS, WILLIAM A"
"TAYLOR, MICHAEL D.","WEISS, WILLIAM A"
"NELSON, JUDITH E","CARSON, SHANNON S"
"SIEGLE, GREG J","D'ANDREA, WENDY MICHELLE"
"DE BOER, IAN H","KESTENBAUM, BRYAN R"
"COPLAND, JOHN A.","SMALLRIDGE, ROBERT"
"PRENTICE, ROSS L","LAMPE, JOHANNA W"
"KALINSKI, PAWEL","WESA, AMY K"
"KALINSKI, PAWEL","AHRENS, ERIC T."
"WESA, AMY K","AHRENS, ERIC T."
"MOHAPATRA, SHYAM S","MOHAPATRA, SUBHRA"
"DUBNER, RONALD","KELLER, ASAF"
"KAPUR, REUBEN","CHAN, REBECCA J."
"WEST, JENNIFER L","GRANDE-ALLEN, KATHRYN JANE"
"BECKMAN, MARY E.","MUNSON, BENJAMIN R"
"BECKMAN, MARY E.","EDWARDS, JAN"
"MUNSON, BENJAMIN R","EDWARDS, JAN"
"PAESSLER, SLOBODAN","DE LA TORRE, JUAN C."
"FOXMAN, BETSY","MCNEIL, DANIEL W"
"FOXMAN, BETSY","MARAZITA, MARY L."
"MCNEIL, DANIEL W","MARAZITA, MARY L."
"MCDONALD, CRAIG M.","HATHOUT, YETRIB"
"ROY, HEMANT K.","BACKMAN, VADIM"
"IRWIN, JOHN J.","SHOICHET, BRIAN K"
"LONGAKER, MICHAEL T","GURTNER, GEOFFREY C"
"HETHERINGTON, HOBY P","PAN, JULLIE W"
"WAGNER, ERIC F","LOWE, JOHN R., RN, PHD, FAAN"
"WANG, YIBIN","RUAN, HONG-MEI"
"ANDREWS, PHILIP C","RUOTOLO, BRANDON T"
"KENT, STEPHEN B.H.","ARVAN, PETER"
"KENT, STEPHEN B.H.","WEISS, MICHAEL AARON"
"ARVAN, PETER","WEISS, MICHAEL AARON"
"GASTPAR, MICHAEL","OLSHAUSEN, BRUNO A."
"GASTPAR, MICHAEL","THEUNISSEN, FREDERIC E."
"OLSHAUSEN, BRUNO A.","THEUNISSEN, FREDERIC E."
"MONTANER, JULIO SERGIO GONZALEZ","HULL, MARK"
"COHEN, PETER A","DISIS, MARY L."
"CAMERON, MICHAEL DARIN","ROBERTS, EDWARD"
"LIEBSCHUTZ, JANE M","ROSE-JACOBS, RUTH"
"LIEBSCHUTZ, JANE M","FRANK, DEBORAH A"
"ROSE-JACOBS, RUTH","FRANK, DEBORAH A"
"MOGHE, PRABHAS V","UHRICH, KATHRYN ELIZABETH"
"BEER, DAVID GEORGE","CHINNAIYAN, ARUL M"
"MARSCH, LISA A.","ACOSTA, MICHELLE C"
"LINDEN, HANNAH M","MANKOFF, DAVID A."
"LINDEN, HANNAH M","KINAHAN, PAUL E."
"MANKOFF, DAVID A.","KINAHAN, PAUL E."
"YANKEELOV, THOMAS E","ABRAMSON, VANDANA"
"PENG, KAH-WHYE","GALANIS, EVANTHIA"
"JOHNSON, CANDACE S","TRUMP, DONALD L"
"SZCZESNA-CORDARY, DANUTA","BOREJDO, JULIAN"
"HOUGH, CATHERINE LEE","NEEDHAM, DALE MURRAY"
"KURTH, ANN ELIZABETH","INWANI, IRENE"
"KURTH, ANN ELIZABETH","INWANI, IRENE"
"KURTH, ANN ELIZABETH","INWANI, IRENE"
"CHRISTINI, DAVID J.","ABBOTT, GEOFFREY W"
"ZAITSEV, ALEXEY V","SANGUINETTI, MICHAEL CRAIG"
"PUSHKO, PETER M.","LUKASHEVICH, IGOR S."
"DIBAISE, JOHN K.","KRAJMALNIK-BROWN, ROSA"
"DIBAISE, JOHN K.","RITTMANN, BRUCE EDWARD"
"KRAJMALNIK-BROWN, ROSA","RITTMANN, BRUCE EDWARD"
"KLATZKY, ROBERTA L","STETTEN, GEORGE D."
"LEEDER, JAMES STEVEN","LIN, YVONNE SARAH"
"BOIVIN, MICHAEL JOSEPH","NAKASUJJA, NOELINE"
"WIDAMAN, KEITH F.","CONGER, RAND DONALD"
"WIDAMAN, KEITH F.","ROBINS, RICHARD W"
"CONGER, RAND DONALD","ROBINS, RICHARD W"
"AMIJI, MANSOOR M","CONNOLLY, DENISE C"
"AMIJI, MANSOOR M","COLEMAN, TIMOTHY P"
"CONNOLLY, DENISE C","COLEMAN, TIMOTHY P"
"STANDISH, LEANNA J","ANDERSEN, MARIN R"
"GINTZLER, ALAN R","LIU, NAIJIANG"
"SCHAFFER, DAVID V","ARKIN, ADAM P"
"ASARNOW, JOAN ROSENBAUM","COHEN, JUDITH A."
"ASARNOW, JOAN ROSENBAUM","BERK, MICHELE STACY"
"COHEN, JUDITH A.","BERK, MICHELE STACY"
"FLOYD, THOMAS F.","MOHLER, EMILE R."
"ZHOU, PEI","NICHOLAS, ROBERT A"
"PARVIN, JEFFREY D","HUANG, KUN"
"PARVIN, JEFFREY D","CATALYUREK, UMIT V."
"HUANG, KUN","CATALYUREK, UMIT V."
"THOM, ELIZABETH ANN","CLIFTON, REBECCA GERSNOVIEZ"
"KAPLOWITZ, NEIL","JI, CHENG"
"MCCALL, ANTHONY L","FARHI, LEON S"
"KUPPERMANN, NATHAN","GLASER, NICOLE S"
"SIMERLY, RICHARD B","MYERS, MARTIN G"
"VADIGEPALLI, RAJANIKANTH","SCHWABER, JAMES"
"SAHN, DAVID J.","SONG, XUBO"
"JAVITCH, JONATHAN A","WEINSTEIN, HAREL"
"SCHUBERT, KEITH","SADROZINSKI, HARTMUT F.-W."
"SCHUBERT, KEITH","SCHULTE, REINHARD W."
"SCHUBERT, KEITH","BASHKIROV, VLADIMIR A."
"SADROZINSKI, HARTMUT F.-W.","SCHULTE, REINHARD W."
"SADROZINSKI, HARTMUT F.-W.","BASHKIROV, VLADIMIR A."
"SCHULTE, REINHARD W.","BASHKIROV, VLADIMIR A."
"ADAMS, REGINALD B","HESS, URSULA"
"ADAMS, REGINALD B","KLECK, ROBERT E"
"HESS, URSULA","KLECK, ROBERT E"
"FERNALD, ANNE","FELDMAN, HEIDI M."
"GALLAGHER, DYMPNA","PI-SUNYER, XAVIER"
"GALLAGHER, DYMPNA","PI-SUNYER, XAVIER"
"JOSHIPURA, KAUMUDI J","HU, FRANK B"
"JOSHIPURA, KAUMUDI J","HU, FRANK B"
"PEACEMAN, ALAN M","VAN HORN, LINDA VERNER"
"VAN CAUTER, EVE","EHRMANN, DAVID A"
"LIAN, JANE B.","STEIN, GARY S."
"KELLER, MARTIN B","WEISBERG, RISA B"
"EVINS, A EDEN","FAVA, MAURIZIO"
"GORE SARAVIA, NANCY","MCMAHON PRATT, DIANE"
"REDMAN, LEANNE MAREE","MARTIN, CORBY K"
"HAIRE-JOSHU, DEBRA","KLEIN, SAMUEL"
"HAIRE-JOSHU, DEBRA","MOLEY, KELLE H"
"KLEIN, SAMUEL","MOLEY, KELLE H"
"HAIRE-JOSHU, DEBRA","KLEIN, SAMUEL"
"HAIRE-JOSHU, DEBRA","MOLEY, KELLE H"
"KLEIN, SAMUEL","MOLEY, KELLE H"
"FINN, PATRICIA W","PERKINS, DAVID LINN"
"IAKOUCHEVA, LILIA M","HAO, TONG"
"GREENBERG, MARK T.","DOMITROVICH, CELENE"
"GREENBERG, MARK T.","FISHBEIN, DIANA H"
"DOMITROVICH, CELENE","FISHBEIN, DIANA H"
"PARDOLL, DREW M.","SEARS, CYNTHIA"
"HUANG, ELBERT S.","KARTER, ANDREW JOHN"
"CARTER, BRUCE D","SANDERS, CHARLES R"
"VANOYE, CARLOS G.","SANDERS, CHARLES R"
"LISANBY, SARAH H","PETERCHEV, ANGEL V"
"HARVEY, PHILIP D.","PENN, DAVID LEWIS"
"HARVEY, PHILIP D.","PINKHAM, AMY"
"PENN, DAVID LEWIS","PINKHAM, AMY"
"MOE, ORSON W","BAUM, MICHEL GERARD"
"NOOR, MOHAMED A","KLIMAN, RICHARD M"
"MAIER, LISA A","DAY, BRIAN J"
"GREENBAUM, PAUL E","HENDERSON, CRAIG E."
"KRIMM, ROBIN FRANCES","MINICHIELLO, LILIANA"
"OXFORD, GERRY S","HURLEY, JOYCE H"
"SACCO, RALPH L.","ELKIND, MITCHELL S"
"FREMONT, DAVED H.","HANSEN, TED HOWARD"
"KRAUSS, RONALD M","MOTSINGER-REIF, ALISON"
"KRAUSS, RONALD M","MCLEOD, HOWARD L"
"MOTSINGER-REIF, ALISON","MCLEOD, HOWARD L"
"HAYES, RICHARD BERNARD","THURSTON, GEORGE DOUGLAS"
"BOWEN, DEBORAH J.","BERESFORD, SHIRLEY AA"
"BLANGERO, JOHN","MOSES, ERIC"
"BLANGERO, JOHN","ABRAHAM, LAWRENCE JOSEPH"
"MOSES, ERIC","ABRAHAM, LAWRENCE JOSEPH"
"DENVER, DEE","ESTES, SUZANNE R"
"MARSCH, LISA A.","ROSENBLUM, ANDREW BRUCE"
"GERBER, BEN STEVEN","SHARP, LISA K"
"ENGELBERG, RUTH ANN","CURTIS, J RANDALL"
"NERBONNE, JEANNE M.","ORNITZ, DAVID M"
"THOMPSON, LYNMARIE K.","WEIS, ROBERT M"
"WANG, BINGCHENG","MIAO, HUI"
"FAWZI, AMANI A","SMITH, ROLAND THEODORE"
"AYALA, GUADALUPE X","ISASI, CARMEN R."
"AYALA, GUADALUPE X","BANGDIWALA, SHRIKANT I"
"AYALA, GUADALUPE X","ECKFELDT, JOHN H"
"AYALA, GUADALUPE X","PERREIRA, KRISTA M"
"AYALA, GUADALUPE X","HIMES, JOHN H."
"AYALA, GUADALUPE X","CARNETHON, MERCEDES RENEE"
"AYALA, GUADALUPE X","DELAMATER, ALAN M"
"ISASI, CARMEN R.","BANGDIWALA, SHRIKANT I"
"ISASI, CARMEN R.","ECKFELDT, JOHN H"
"ISASI, CARMEN R.","PERREIRA, KRISTA M"
"ISASI, CARMEN R.","HIMES, JOHN H."
"ISASI, CARMEN R.","CARNETHON, MERCEDES RENEE"
"ISASI, CARMEN R.","DELAMATER, ALAN M"
"BANGDIWALA, SHRIKANT I","ECKFELDT, JOHN H"
"BANGDIWALA, SHRIKANT I","PERREIRA, KRISTA M"
"BANGDIWALA, SHRIKANT I","HIMES, JOHN H."
"BANGDIWALA, SHRIKANT I","CARNETHON, MERCEDES RENEE"
"BANGDIWALA, SHRIKANT I","DELAMATER, ALAN M"
"ECKFELDT, JOHN H","PERREIRA, KRISTA M"
"ECKFELDT, JOHN H","HIMES, JOHN H."
"ECKFELDT, JOHN H","CARNETHON, MERCEDES RENEE"
"ECKFELDT, JOHN H","DELAMATER, ALAN M"
"PERREIRA, KRISTA M","HIMES, JOHN H."
"PERREIRA, KRISTA M","CARNETHON, MERCEDES RENEE"
"PERREIRA, KRISTA M","DELAMATER, ALAN M"
"HIMES, JOHN H.","CARNETHON, MERCEDES RENEE"
"HIMES, JOHN H.","DELAMATER, ALAN M"
"CARNETHON, MERCEDES RENEE","DELAMATER, ALAN M"
"JABLONS, DAVID M.","COUSSENS, LISA M."
"HILL, DAVID E.","VIDAL, MARC"
"HILL, DAVID E.","ROTH, FREDERICK P"
"VIDAL, MARC","ROTH, FREDERICK P"
"AARONSON, STUART A","MLODZIK, MAREK"
"BURNETT, JOHN C","CHEN, HORNG H"
"WHITE, STEPHEN W","LEE, RICHARD E."
"ARTERBURN, JEFFREY B","OPREA, TUDOR I"
"ARTERBURN, JEFFREY B","PROSSNITZ, ERIC R"
"OPREA, TUDOR I","PROSSNITZ, ERIC R"
"AXELROD, JEFFREY D.","TOMLIN, CLAIRE J"
"KAMMERER, BETSY","LOCKMAN, SHAHIN"
"ADLER, ADAM J","VELLA, ANTHONY T"
"BURROWS, CYNTHIA J","DAVID, SHEILA SUE"
"NEIL, JEFFREY J.","INDER, TERRIE E"
"NEIL, JEFFREY J.","VAN ESSEN, DAVID C"
"INDER, TERRIE E","VAN ESSEN, DAVID C"
"FORRESTER, TERRENCE G","MACKO, RICHARD FRANK"
"GREEN, JOHN T","HOZA, BETSY"
"PING, PEIPEI","CAI, HUA LINDA"
"PING, PEIPEI","WEISS, JAMES N"
"CAI, HUA LINDA","WEISS, JAMES N"
"BAILEY, JULIA N","DELGADO-ESCUETA, ANTONIO V."
"MITTAL, VIVEK","BENEZRA, ROBERT I"
"SLEP, KEVIN C","ROGERS, STEPHEN"
"O'NEILL, JOSEPH","PIACENTINI, JOHN C."
"MALIK, RAYAZ AHMED","BOULTON, ANDREW JM"
"SCHENKMAN, MARGARET L","CORCOS, DANIEL M."
"CRAVATT, BENJAMIN F","LICHTMAN, ARON H"
"GRUNER-NIELSEN, LARS","XU, CHRIS"
"SLOANE, BONNIE F","MATTINGLY, RAYMOND R"
"PETERSON, CHARLOTTE A.","KERN, PHILIP A"
"BANKS, WILLIAM A","KABANOV, ALEXANDER V"
"KUKURUZINSKA, MARIA A.","MENKO, A. SUE"
"ZIEGLER, STEVEN F","WOODFOLK, JUDITH A"
"PRISK, GORDON KIM","BUXTON, RICHARD BRUCE"
"RIENSTRA, CHAD M","MORRISSEY, JAMES H."
"LEDERER, WILLIAM JONATHAN","WINSLOW, RAIMOND LESTER"
"LEDERER, WILLIAM JONATHAN","JAFRI, MOHSIN SALEET"
"WINSLOW, RAIMOND LESTER","JAFRI, MOHSIN SALEET"
"TRAYANOVA, NATALIA A.","BLATTER, LOTHAR A"
"TRAYANOVA, NATALIA A.","VAN EYK, JENNIFER E"
"TRAYANOVA, NATALIA A.","O'ROURKE, BRIAN"
"TRAYANOVA, NATALIA A.","BERS, DONALD M"
"BLATTER, LOTHAR A","VAN EYK, JENNIFER E"
"BLATTER, LOTHAR A","O'ROURKE, BRIAN"
"BLATTER, LOTHAR A","BERS, DONALD M"
"VAN EYK, JENNIFER E","O'ROURKE, BRIAN"
"VAN EYK, JENNIFER E","BERS, DONALD M"
"O'ROURKE, BRIAN","BERS, DONALD M"
"PRUITT, BETH L","GOODMAN, MIRIAM B"
"AVRUCH, JOSEPH","EL-BARDEESY, NABEEL"
"YASZEMSKI, MICHAEL J","LU, LICHUN"
"BUATTI, JOHN M.","CASAVANT, THOMAS L."
"BUATTI, JOHN M.","SONKA, MILAN"
"BUATTI, JOHN M.","GRAHAM, MICHAEL M."
"CASAVANT, THOMAS L.","SONKA, MILAN"
"CASAVANT, THOMAS L.","GRAHAM, MICHAEL M."
"SONKA, MILAN","GRAHAM, MICHAEL M."
"SCHNEEWIND, OLAF","MISSIAKAS, DOMINIQUE M."
"JUNE, CARL H.","PORTER, DAVID L"
"MORRISON, RICHARD S","MURPHY, SEAN PADRAIG"
"KRAMBECK, FREDERICK J","YAREMA, KEVIN J"
"TRAWICK, MARY LYNN","PINNEY, KEVIN G."
"ZYLKA, MARK J.","PHILPOT, BENJAMIN D"
"BUSHWELLER, JOHN HACKETT","RAJEWSKI, ROGER A"
"BUSHWELLER, JOHN HACKETT","CASTILLA, LUCIO H."
"RAJEWSKI, ROGER A","CASTILLA, LUCIO H."
"THOMPSON, SCOTT M.","CAI, XIANG"
"SHOGHI, KOORESH ISAAC","GROPLER, ROBERT J."
"FENG, HANPING","TZIPORI, SAUL R"
"BHATIA, SANGEETA N.","CHEN, CHRISTOPHER S"
"JATLOW, PETER I","O'MALLEY, STEPHANIE S"
"KHOSLA, SUNDEEP","LERMAN, AMIR"
"DREW, BARBARA J","DOERING, LYNN VALERIE"
"PAUL, IAN M","BIRCH, LEANN L."
"KNOLLMANN, BJORN C","BAUDENBACHER, FRANZ JOSEF"
"WINSLOW, RAIMOND LESTER","TRAYANOVA, NATALIA A."
"WINSLOW, RAIMOND LESTER","O'ROURKE, BRIAN"
"TRAYANOVA, NATALIA A.","O'ROURKE, BRIAN"
"SCHAEFFER, ANTHONY J","KLUMPP, DAVID J"
"ESTEVA, FRANCISCO J","HOMAN, KIMBERLY ANN"
"ESTEVA, FRANCISCO J","EMELIANOV, STANISLAV Y"
"ESTEVA, FRANCISCO J","SOKOLOV, KONSTANTIN V"
"HOMAN, KIMBERLY ANN","EMELIANOV, STANISLAV Y"
"HOMAN, KIMBERLY ANN","SOKOLOV, KONSTANTIN V"
"EMELIANOV, STANISLAV Y","SOKOLOV, KONSTANTIN V"
"BESKOW, LAURA M.","WEINFURT, KEVIN P"
"PACIFICI, MAURIZIO","IWAMOTO, MASAHIRO"
"WU, CHUN-FANG","DONG, KE"
"ABE, JUN-ICHI","FUJIWARA, KEIGI"
"ABE, JUN-ICHI","BERK, BRADFORD C"
